data_source_uuid,org_id,org_set_id,dataset_name,dataset_version,geom_type,geom_spec,boundary_type,has_attributes,download_method,download_subtype,download_data_standard,download_filename,download_url,download_auth,documentation_url
7864,EPA,AQS,daily_TEMP_2014,2014,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2014.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2014.zip,,https://www.epa.gov/aqs
7865,EPA,AQS,daily_TEMP_2015,2015,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2015.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2015.zip,,https://www.epa.gov/aqs
7866,EPA,AQS,daily_TEMP_2016,2016,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2016.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2016.zip,,https://www.epa.gov/aqs
7867,EPA,AQS,daily_TEMP_2017,2017,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2017.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2017.zip,,https://www.epa.gov/aqs
7868,EPA,AQS,daily_TEMP_2018,2018,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2018.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2018.zip,,https://www.epa.gov/aqs
7869,EPA,AQS,daily_TEMP_2019,2019,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2019.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2019.zip,,https://www.epa.gov/aqs
7870,EPA,AQS,daily_TEMP_2020,2020,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2020.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2020.zip,,https://www.epa.gov/aqs
7871,EPA,AQS,daily_aqi_by_county_2011,2011,,,county,1,file,zip,csv,daily_aqi_by_county_2011.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2011.zip,,https://www.epa.gov/aqs
7872,EPA,AQS,daily_aqi_by_county_2012,2012,,,county,1,file,zip,csv,daily_aqi_by_county_2012.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2012.zip,,https://www.epa.gov/aqs
7873,EPA,AQS,daily_aqi_by_county_2013,2013,,,county,1,file,zip,csv,daily_aqi_by_county_2013.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2013.zip,,https://www.epa.gov/aqs
7874,EPA,AQS,daily_aqi_by_county_2014,2014,,,county,1,file,zip,csv,daily_aqi_by_county_2014.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2014.zip,,https://www.epa.gov/aqs
7875,EPA,AQS,daily_aqi_by_county_2015,2015,,,county,1,file,zip,csv,daily_aqi_by_county_2015.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,,https://www.epa.gov/aqs
7876,EPA,AQS,daily_aqi_by_county_2016,2016,,,county,1,file,zip,csv,daily_aqi_by_county_2016.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2016.zip,,https://www.epa.gov/aqs
7877,EPA,AQS,daily_aqi_by_county_2017,2017,,,county,1,file,zip,csv,daily_aqi_by_county_2017.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2017.zip,,https://www.epa.gov/aqs
7878,EPA,AQS,daily_aqi_by_county_2018,2018,,,county,1,file,zip,csv,daily_aqi_by_county_2018.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2018.zip,,https://www.epa.gov/aqs
7879,EPA,AQS,daily_aqi_by_county_2019,2019,,,county,1,file,zip,csv,daily_aqi_by_county_2019.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2019.zip,,https://www.epa.gov/aqs
7880,EPA,AQS,daily_aqi_by_county_2020,2020,,,county,1,file,zip,csv,daily_aqi_by_county_2020.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2020.zip,,https://www.epa.gov/aqs
8888,EPA,AQS,annual_conc_by_cbsa_2018,2018,,,cbsa,1,file,zip,csv,annual_aqi_by_cbsa_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_cbsa_2018.zip,,https://www.epa.gov/aqs
9999,CDC/ATSDR,SVI,us-county-2018,2018,,,county,1,file,zip,gdb,SVI2018_US_county.gdb,https://svi.cdc.gov/Documents/Data/2018/db/states_counties/SVI_2018_US_county.zip,,https://www.atsdr.cdc.gov/placeandhealth/svi/index.html
10107,Census,TIGER/Line,us-aiannh-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aiannh,0,file,zip,shp,tl_2011_us_aiannh.shp,https://www2.census.gov/geo/tiger/TIGER2011/AIANNH/tl_2011_us_aiannh.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10108,Census,TIGER/Line,us-aitsn-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aitsn,0,file,zip,shp,tl_2011_us_aitsn.shp,https://www2.census.gov/geo/tiger/TIGER2011/AITS/tl_2011_us_aitsn.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10109,Census,TIGER/Line,us-cbsa-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",cbsa,0,file,zip,shp,tl_2011_us_cbsa.shp,https://www2.census.gov/geo/tiger/TIGER2011/CBSA/tl_2011_us_cbsa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10110,Census,TIGER/Line,us-csa-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",csa,0,file,zip,shp,tl_2011_us_csa.shp,https://www2.census.gov/geo/tiger/TIGER2011/CSA/tl_2011_us_csa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10111,Census,TIGER/Line,us-county-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,file,zip,shp,tl_2011_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2011/COUNTY/tl_2011_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10112,Census,TIGER/Line,us-metdiv-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",metdiv,0,file,zip,shp,tl_2011_us_metdiv.shp,https://www2.census.gov/geo/tiger/TIGER2011/METDIV/tl_2011_us_metdiv.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10113,Census,TIGER/Line,us-state-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",state,0,file,zip,shp,tl_2011_us_state.shp,https://www2.census.gov/geo/tiger/TIGER2011/STATE/tl_2011_us_state.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10114,Census,TIGER/Line,us-tbg-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tbg,0,file,zip,shp,tl_2011_us_tbg.shp,https://www2.census.gov/geo/tiger/TIGER2011/TBG/tl_2011_us_tbg.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10115,Census,TIGER/Line,us-ttract-2011,2011,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",ttract,0,file,zip,shp,tl_2011_us_ttract.shp,https://www2.census.gov/geo/tiger/TIGER2011/TTRACT/tl_2011_us_ttract.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10116,Census,TIGER/Line,us-aiannh-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aiannh,0,file,zip,shp,tl_2012_us_aiannh.shp,https://www2.census.gov/geo/tiger/TIGER2012/AIANNH/tl_2012_us_aiannh.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10117,Census,TIGER/Line,us-aitsn-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aitsn,0,file,zip,shp,tl_2012_us_aitsn.shp,https://www2.census.gov/geo/tiger/TIGER2012/AITS/tl_2012_us_aitsn.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10118,Census,TIGER/Line,us-cbsa-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",cbsa,0,file,zip,shp,tl_2012_us_cbsa.shp,https://www2.census.gov/geo/tiger/TIGER2012/CBSA/tl_2012_us_cbsa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10119,Census,TIGER/Line,us-csa-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",csa,0,file,zip,shp,tl_2012_us_csa.shp,https://www2.census.gov/geo/tiger/TIGER2012/CSA/tl_2012_us_csa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10120,Census,TIGER/Line,us-county-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,file,zip,shp,tl_2012_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2012/COUNTY/tl_2012_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10121,Census,TIGER/Line,us-metdiv-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",metdiv,0,file,zip,shp,tl_2012_us_metdiv.shp,https://www2.census.gov/geo/tiger/TIGER2012/METDIV/tl_2012_us_metdiv.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10122,Census,TIGER/Line,us-state-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",state,0,file,zip,shp,tl_2012_us_state.shp,https://www2.census.gov/geo/tiger/TIGER2012/STATE/tl_2012_us_state.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10123,Census,TIGER/Line,us-tbg-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tbg,0,file,zip,shp,tl_2012_us_tbg.shp,https://www2.census.gov/geo/tiger/TIGER2012/TBG/tl_2012_us_tbg.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10124,Census,TIGER/Line,us-ttract-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",ttract,0,file,zip,shp,tl_2012_us_ttract.shp,https://www2.census.gov/geo/tiger/TIGER2012/TTRACT/tl_2012_us_ttract.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10125,Census,TIGER/Line,us-uac-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME10' %in% colnames(staged)) 'NAME10' else 'NAMELSAD10')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",uac,0,file,zip,shp,tl_2012_us_uac10.shp,https://www2.census.gov/geo/tiger/TIGER2012/UAC/tl_2012_us_uac10.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10126,Census,TIGER/Line,us-zcta5-2012,2012,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,file,zip,shp,tl_2012_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2012/ZCTA5/tl_2012_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10127,Census,TIGER/Line,us-aiannh-2013,2013,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aiannh,0,file,zip,shp,tl_2013_us_aiannh.shp,https://www2.census.gov/geo/tiger/TIGER2013/AIANNH/tl_2013_us_aiannh.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10128,Census,TIGER/Line,us-aitsn-2013,2013,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aitsn,0,file,zip,shp,tl_2013_us_aitsn.shp,https://www2.census.gov/geo/tiger/TIGER2013/AITS/tl_2013_us_aitsn.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
