concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
,Phenindamine,Observation,Toxin,Substance,,82-88-2,1970-01-01,2099-12-31,
,'2,3,4,6,7,8-Hexachlorodibenzofuran',Observation,Toxin,Substance,S,60851-34-5,1970-01-01,2099-12-31,
,Bentazon,Observation,Toxin,Substance,,25057-89-0,1970-01-01,2099-12-31,
,Mercury(II) cyanide,Observation,Toxin,Substance,S,592-04-1,1970-01-01,2099-12-31,
,Lithium perchlorate,Observation,Toxin,Substance,S,7791-03-9,1970-01-01,2099-12-31,
,Allyxycarb,Observation,Toxin,Substance,S,6392-46-7,1970-01-01,2099-12-31,
,alpha-Chaconine,Observation,Toxin,Substance,S,20562-03-2,1970-01-01,2099-12-31,
,'1,8-Dichlorodibenzofuran',Observation,Toxin,Substance,S,81638-37-1,1970-01-01,2099-12-31,
,Secalonic Acid D,Observation,Toxin,Substance,S,35287-69-5,1970-01-01,2099-12-31,
,Zinc bromide,Observation,Toxin,Substance,,7699-45-8,1970-01-01,2099-12-31,
,Nitrite,Observation,Toxin,Substance,,14797-65-0,1970-01-01,2099-12-31,
,Diundecyl phthalate,Observation,Toxin,Substance,S,3648-20-2,1970-01-01,2099-12-31,
,Levetiracetam,Observation,Toxin,Substance,,102767-28-2,1970-01-01,2099-12-31,
,Contryphan (Conus ventricosus),Observation,Toxin,Substance,S,OMOP5182141,1970-01-01,2099-12-31,
,m-Dichlorobenzene,Observation,Toxin,Substance,,541-73-1,1970-01-01,2099-12-31,
,Tryparsamide,Observation,Toxin,Substance,,554-72-3,1970-01-01,2099-12-31,
,Dendrotoxin (Dendroaspis angusticeps),Observation,Toxin,Substance,S,74504-53-3,1970-01-01,2099-12-31,
,'2,3,3',4,4',6-Hexachlorobiphenyl',Observation,Toxin,Substance,S,74472-42-7,1970-01-01,2099-12-31,
,Kaempferol,Observation,Toxin,Substance,S,520-18-3,1970-01-01,2099-12-31,
,Aluminium chlorohydrate,Observation,Toxin,Substance,,1327-41-9,1970-01-01,2099-12-31,
,Trifluoperazine,Observation,Toxin,Substance,,117-89-5,1970-01-01,2099-12-31,
,Phenylacetic acid,Observation,Toxin,Substance,,103-82-2,1970-01-01,2099-12-31,
,'2,2',3,4-Tetrachlorobiphenyl',Observation,Toxin,Substance,S,52663-59-9,1970-01-01,2099-12-31,
,Heptanoic acid,Observation,Toxin,Substance,,111-14-8,1970-01-01,2099-12-31,
,L-Methionine,Observation,Toxin,Substance,,63-68-3,1970-01-01,2099-12-31,
,Imidazolidinyl urea,Observation,Toxin,Substance,,39236-46-9,1970-01-01,2099-12-31,
,Okadaic acid,Observation,Toxin,Substance,,78111-17-8,1970-01-01,2099-12-31,
,Oxadiazon,Observation,Toxin,Substance,S,19666-30-9,1970-01-01,2099-12-31,
,Stavudine,Observation,Toxin,Substance,,3056-17-5,1970-01-01,2099-12-31,
,Maurotoxin,Observation,Toxin,Substance,,188240-41-7,1970-01-01,2099-12-31,
,Gentian Violet,Observation,Toxin,Substance,,14426-25-6,1970-01-01,2099-12-31,
,Vanadium(III) iodide,Observation,Toxin,Substance,S,15513-94-7,1970-01-01,2099-12-31,
,'1,1,2,2-Tetrachloroethane',Observation,Toxin,Substance,,79-34-5,1970-01-01,2099-12-31,
,Ethylamine,Observation,Toxin,Substance,,75-04-7,1970-01-01,2099-12-31,
,Methylergonovine,Observation,Toxin,Substance,,113-42-8,1970-01-01,2099-12-31,
,Ethenyl acetate,Observation,Toxin,Substance,S,108-05-4,1970-01-01,2099-12-31,
,Ethyl bromoacetate,Observation,Toxin,Substance,S,105-36-2,1970-01-01,2099-12-31,
,'2,2',3,4'-Tetrachlorobiphenyl',Observation,Toxin,Substance,S,36559-22-5,1970-01-01,2099-12-31,
,'2,3,4,8-Tetrachlorodibenzofuran',Observation,Toxin,Substance,S,83704-32-9,1970-01-01,2099-12-31,
,Chlorsulfuron,Observation,Toxin,Substance,S,64902-72-3,1970-01-01,2099-12-31,
,1-Bromohexane,Observation,Toxin,Substance,S,111-25-1,1970-01-01,2099-12-31,
,Imazapyr,Observation,Toxin,Substance,S,81334-34-1,1970-01-01,2099-12-31,
,Gonyautoxin II,Observation,Toxin,Substance,S,60508-89-6,1970-01-01,2099-12-31,
,Anthanthrene,Observation,Toxin,Substance,S,191-26-4,1970-01-01,2099-12-31,
,'1,2,4-Trimethylbenzene',Observation,Toxin,Substance,S,95-63-6,1970-01-01,2099-12-31,
,Oxamyl,Observation,Toxin,Substance,,23135-22-0,1970-01-01,2099-12-31,
,'2,3,4,7,8-Pentachlorodibenzofuran',Observation,Toxin,Substance,S,57117-31-4,1970-01-01,2099-12-31,
,Cadmium telluride,Observation,Toxin,Substance,S,1306-25-8,1970-01-01,2099-12-31,
,Arsenic trisulfide,Observation,Toxin,Substance,,1303-33-9,1970-01-01,2099-12-31,
,Quinine,Observation,Toxin,Substance,,130-95-0,1970-01-01,2099-12-31,
,Propamocarb hydrochloride,Observation,Toxin,Substance,S,25606-41-1,1970-01-01,2099-12-31,
,Anthophyllite Asbestos,Observation,Toxin,Substance,S,77536-67-5,1970-01-01,2099-12-31,
,Diclofop-methyl,Observation,Toxin,Substance,S,51338-27-3,1970-01-01,2099-12-31,
,'4-Methylformamido-3,5-xylyl methylcarbamate',Observation,Toxin,Substance,S,10233-94-0,1970-01-01,2099-12-31,
,'1,2,3-Trichlorodibenzofuran',Observation,Toxin,Substance,S,83636-47-9,1970-01-01,2099-12-31,
,Picloram,Observation,Toxin,Substance,,1918-02-1,1970-01-01,2099-12-31,
,Methiochlor,Observation,Toxin,Substance,S,19679-38-0,1970-01-01,2099-12-31,
,Gemfibrozil,Observation,Toxin,Substance,,25812-30-0,1970-01-01,2099-12-31,
,Indium arsenide,Observation,Toxin,Substance,S,1303-11-3,1970-01-01,2099-12-31,
,Cyanogen iodide,Observation,Toxin,Substance,S,506-78-5,1970-01-01,2099-12-31,
,Nystatin,Observation,Toxin,Substance,,1400-61-9,1970-01-01,2099-12-31,
,Chromium(II) oxalate,Observation,Toxin,Substance,S,814-90-4,1970-01-01,2099-12-31,
,Emamectin B1a,Observation,Toxin,Substance,,121124-29-6,1970-01-01,2099-12-31,
,Chromic acid,Observation,Toxin,Substance,,7738-94-5,1970-01-01,2099-12-31,
,Tribromobiphenyl Ether,Observation,Toxin,Substance,S,49690-94-0,1970-01-01,2099-12-31,
,Cyclohexanol,Observation,Toxin,Substance,,108-93-0,1970-01-01,2099-12-31,
,Nickel sulfamate,Observation,Toxin,Substance,S,13770-89-3,1970-01-01,2099-12-31,
,Fluorene,Observation,Toxin,Substance,,86-73-7,1970-01-01,2099-12-31,
,Diltiazem,Observation,Toxin,Substance,,42399-41-7,1970-01-01,2099-12-31,
,cis-Diamminedichloro-palladium(II),Observation,Toxin,Substance,S,14323-43-4,1970-01-01,2099-12-31,
,Tetrodotoxin,Observation,Toxin,Substance,,4368-28-9,1970-01-01,2099-12-31,
,Americium,Observation,Toxin,Substance,,7440-35-9,1970-01-01,2099-12-31,
,Anabasine,Observation,Toxin,Substance,,13078-04-1,1970-01-01,2099-12-31,
,Methyl isothiocyanate,Observation,Toxin,Substance,,556-61-6,1970-01-01,2099-12-31,
,Farnesol,Observation,Toxin,Substance,,4602-84-0,1970-01-01,2099-12-31,
,2-hydroxyflutamide,Observation,Toxin,Substance,S,52806-53-8,1970-01-01,2099-12-31,
,S-Sulfocysteine,Observation,Toxin,Substance,,1637-71-4,1970-01-01,2099-12-31,
,Zinc hydride,Observation,Toxin,Substance,S,14018-82-7,1970-01-01,2099-12-31,
,Dibutyltin dilaurate,Observation,Toxin,Substance,,77-58-7,1970-01-01,2099-12-31,
,Isopentyl acetate,Observation,Toxin,Substance,S,123-92-2,1970-01-01,2099-12-31,
,Cobalt(II) fluoride,Observation,Toxin,Substance,S,10026-17-2,1970-01-01,2099-12-31,
,Cyproconazole,Observation,Toxin,Substance,,94361-06-5,1970-01-01,2099-12-31,
,Uranyl chloride,Observation,Toxin,Substance,S,7791-26-6,1970-01-01,2099-12-31,
,Quaternium-15,Observation,Toxin,Substance,,4080-31-3,1970-01-01,2099-12-31,
,P-Chloroacetophenone,Observation,Toxin,Substance,S,99-91-2,1970-01-01,2099-12-31,
,Aluminium(I) oxide,Observation,Toxin,Substance,,12004-36-3,1970-01-01,2099-12-31,
,'1,2,3,4,6,7,8,9,10,10,11,11-Dodecachloro-1,4,4a,5a,6,9,9a,9b-octahydro-1,4:6,9- dimethanodibenzofuran',Observation,Toxin,Substance,S,31107-44-5,1970-01-01,2099-12-31,
,Benzoin,Observation,Toxin,Substance,,119-53-9,1970-01-01,2099-12-31,
,Dimethylarsine,Observation,Toxin,Substance,S,593-57-7,1970-01-01,2099-12-31,
,Letrozole,Observation,Toxin,Substance,,112809-51-5,1970-01-01,2099-12-31,
,'2,2',3,4',5,6'-Hexabromobiphenyl',Observation,Toxin,Substance,S,93261-83-7,1970-01-01,2099-12-31,
,Acenaphthene,Observation,Toxin,Substance,,83-32-9,1970-01-01,2099-12-31,
,Gyromitrin,Observation,Toxin,Substance,,16568-02-8,1970-01-01,2099-12-31,
,'1,2,7,8-Tetrabromodibenzofuran',Observation,Toxin,Substance,S,84761-80-8,1970-01-01,2099-12-31,
,Methylarsine,Observation,Toxin,Substance,S,593-52-2,1970-01-01,2099-12-31,
,Metolachlor,Observation,Toxin,Substance,S,51218-45-2,1970-01-01,2099-12-31,
,Coronene,Observation,Toxin,Substance,S,191-07-1,1970-01-01,2099-12-31,
,Milbemectin (mixture),Observation,Toxin,Substance,S,51596-11-3,1970-01-01,2099-12-31,
,Tungsten,Observation,Toxin,Substance,,7440-33-7,1970-01-01,2099-12-31,
,Zinc dithionite,Observation,Toxin,Substance,S,7779-86-4,1970-01-01,2099-12-31,
,'2,3,6,9-Tetrachlorodecane',Observation,Toxin,Substance,S,OMOP5182027,1970-01-01,2099-12-31,
,Cyclophosphamide,Observation,Toxin,Substance,,50-18-0,1970-01-01,2099-12-31,
,Anileridine,Observation,Toxin,Substance,,144-14-9,1970-01-01,2099-12-31,
,Myristic acid,Observation,Toxin,Substance,,544-63-8,1970-01-01,2099-12-31,
,Cyanoacetamide,Observation,Toxin,Substance,S,107-91-5,1970-01-01,2099-12-31,
,Nitromethylidenecyclohexane,Observation,Toxin,Substance,S,27861-39-8,1970-01-01,2099-12-31,
,a-Chloroacetophenone,Observation,Toxin,Substance,S,532-27-4,1970-01-01,2099-12-31,
,Sodium aluminum phosphate,Observation,Toxin,Substance,S,7785-88-8,1970-01-01,2099-12-31,
,Sodium nitrate,Observation,Toxin,Substance,,7631-99-4,1970-01-01,2099-12-31,
,'2,3,3-Trimethylpentane',Observation,Toxin,Substance,S,560-21-4,1970-01-01,2099-12-31,
,Cobalt(II) bromide,Observation,Toxin,Substance,S,7789-43-7,1970-01-01,2099-12-31,
,'2,3-Dichlorobenzyl methylcarbamate',Observation,Toxin,Substance,S,62046-37-1,1970-01-01,2099-12-31,
,Trichodermin,Observation,Toxin,Substance,S,4682-50-2,1970-01-01,2099-12-31,
,Vanadium(IV) fluoride,Observation,Toxin,Substance,S,10049-16-8,1970-01-01,2099-12-31,
,'1,2-Dibromo-3-chloropropane',Observation,Toxin,Substance,,96-12-8,1970-01-01,2099-12-31,
,Iron(III) nitrate,Observation,Toxin,Substance,S,10421-48-4,1970-01-01,2099-12-31,
,Marinobufagenin,Observation,Toxin,Substance,,470-42-8,1970-01-01,2099-12-31,
,Butorphanol,Observation,Toxin,Substance,,42408-82-2,1970-01-01,2099-12-31,
,Perfluorononanoic acid,Observation,Toxin,Substance,S,375-95-1,1970-01-01,2099-12-31,
,Cobalt(II) hydroxide,Observation,Toxin,Substance,S,21041-93-0,1970-01-01,2099-12-31,
,Fast green FCF,Observation,Toxin,Substance,,2353-45-9,1970-01-01,2099-12-31,
,Germanium selenide,Observation,Toxin,Substance,S,12065-10-0,1970-01-01,2099-12-31,
,Isoxaflutole,Observation,Toxin,Substance,,141112-29-0,1970-01-01,2099-12-31,
,L-Hypoglycin A,Observation,Toxin,Substance,,156-56-9,1970-01-01,2099-12-31,
,Aurovertin B,Observation,Toxin,Substance,S,55350-03-3,1970-01-01,2099-12-31,
,Zinc dimethyldithiocarbamate,Observation,Toxin,Substance,,137-30-4,1970-01-01,2099-12-31,
,T2 Toxin,Observation,Toxin,Substance,,21259-20-1,1970-01-01,2099-12-31,
,Xylylcarb,Observation,Toxin,Substance,S,2425-10-7,1970-01-01,2099-12-31,
,Nysted reagent,Observation,Toxin,Substance,S,41114-59-4,1970-01-01,2099-12-31,
,Aluminium nitride,Observation,Toxin,Substance,S,24304-00-5,1970-01-01,2099-12-31,
,'1,2,3,6,7-Pentachlorodibenzofuran',Observation,Toxin,Substance,S,57117-42-7,1970-01-01,2099-12-31,
,Thorium,Observation,Toxin,Substance,,7440-29-1,1970-01-01,2099-12-31,
,Dimethyltin dichloride,Observation,Toxin,Substance,S,753-73-1,1970-01-01,2099-12-31,
,Beta-hemolysin,Observation,Toxin,Substance,S,143257-99-2,1970-01-01,2099-12-31,
,'2,3,4,4',5,6-Hexachlorobiphenyl',Observation,Toxin,Substance,S,41411-63-6,1970-01-01,2099-12-31,
,Nordiazepam,Observation,Toxin,Substance,,1088-11-5,1970-01-01,2099-12-31,
,Zinc laurate,Observation,Toxin,Substance,,2452-01-9,1970-01-01,2099-12-31,
,Chloromethyl methyl ether,Observation,Toxin,Substance,,107-30-2,1970-01-01,2099-12-31,
,Copper(II) bromide,Observation,Toxin,Substance,S,7789-45-9,1970-01-01,2099-12-31,
,Teniposide,Observation,Toxin,Substance,,29767-20-2,1970-01-01,2099-12-31,
,Arsenic pentachloride,Observation,Toxin,Substance,S,22441-45-8,1970-01-01,2099-12-31,
,Calcium arsenate,Observation,Toxin,Substance,,7778-44-1,1970-01-01,2099-12-31,
,'1,3,7,8-Tetrachlorodibenzofuran',Observation,Toxin,Substance,S,57117-35-8,1970-01-01,2099-12-31,
,Potassium ferrocyanide,Observation,Toxin,Substance,S,13943-58-3,1970-01-01,2099-12-31,
,Fluvalinate,Observation,Toxin,Substance,,69409-94-5,1970-01-01,2099-12-31,
,Silver oxide,Observation,Toxin,Substance,S,20667-12-3,1970-01-01,2099-12-31,
,Uranyl zinc acetate,Observation,Toxin,Substance,S,10138-94-0,1970-01-01,2099-12-31,
,Monoethyl phthalate,Observation,Toxin,Substance,S,2306-33-4,1970-01-01,2099-12-31,
,'1,2,8,9-Tetrachlorodibenzo-p-dioxin',Observation,Toxin,Substance,S,62470-54-6,1970-01-01,2099-12-31,
,Lysergic acid hydroxyethylamide,Observation,Toxin,Substance,S,3343-15-5,1970-01-01,2099-12-31,
,Trimethyltin chloride,Observation,Toxin,Substance,S,1066-45-1,1970-01-01,2099-12-31,
,Chromium(III) oxide,Observation,Toxin,Substance,S,1308-38-9,1970-01-01,2099-12-31,
,Risedronate,Observation,Toxin,Substance,,105462-24-6,1970-01-01,2099-12-31,
,'1,2,4,6,9-Pentachlorodibenzofuran',Observation,Toxin,Substance,S,70648-24-7,1970-01-01,2099-12-31,
,'2,4',6-Tribromobiphenyl',Observation,Toxin,Substance,S,64258-03-3,1970-01-01,2099-12-31,
,'2,3',4,4',6-Pentachlorobiphenyl',Observation,Toxin,Substance,S,56558-17-9,1970-01-01,2099-12-31,
,'2,3'-Dibromobiphenyl',Observation,Toxin,Substance,S,49602-90-6,1970-01-01,2099-12-31,
,Adapalene,Observation,Toxin,Substance,,106685-40-9,1970-01-01,2099-12-31,
,Galantamine,Observation,Toxin,Substance,,357-70-0,1970-01-01,2099-12-31,
,Alendronic acid,Observation,Toxin,Substance,,66376-36-1,1970-01-01,2099-12-31,
,L-Coprine,Observation,Toxin,Substance,S,58919-61-2,1970-01-01,2099-12-31,
,1-Naphthol,Observation,Toxin,Substance,,90-15-3,1970-01-01,2099-12-31,
,Nitrofural,Observation,Toxin,Substance,,59-87-0,1970-01-01,2099-12-31,
,Versutoxin,Observation,Toxin,Substance,S,114264-83-4,1970-01-01,2099-12-31,
,L-2-Hydroxyglutaric acid,Observation,Toxin,Substance,S,13095-48-2,1970-01-01,2099-12-31,
,Ethinyl Estradiol,Observation,Toxin,Substance,,57-63-6,1970-01-01,2099-12-31,
,Methotrexate,Observation,Toxin,Substance,,59-05-2,1970-01-01,2099-12-31,
,'2-(Nitromethylidene)-1,3-thiazolidine',Observation,Toxin,Substance,S,94662-60-9,1970-01-01,2099-12-31,
,Clomipramine,Observation,Toxin,Substance,,303-49-1,1970-01-01,2099-12-31,
,Phenarsazine oxide,Observation,Toxin,Substance,S,58-36-6,1970-01-01,2099-12-31,
,D-Xylose,Observation,Toxin,Substance,,58-86-6,1970-01-01,2099-12-31,
,Venlafaxine,Observation,Toxin,Substance,,93413-69-5,1970-01-01,2099-12-31,
,'2,2',3,3',5-Pentachlorobiphenyl',Observation,Toxin,Substance,S,60145-20-2,1970-01-01,2099-12-31,
,Zinc carbonate,Observation,Toxin,Substance,,3486-35-9,1970-01-01,2099-12-31,
,Cacodyl oxide,Observation,Toxin,Substance,S,503-80-0,1970-01-01,2099-12-31,
,Mono-benzyl phthalate,Observation,Toxin,Substance,S,2528-16-7,1970-01-01,2099-12-31,
,Cytarabine,Observation,Toxin,Substance,,147-94-4,1970-01-01,2099-12-31,
,Indoleacetic acid,Observation,Toxin,Substance,,87-51-4,1970-01-01,2099-12-31,
,Emestrin,Observation,Toxin,Substance,S,97816-62-1,1970-01-01,2099-12-31,
,Mobam,Observation,Toxin,Substance,S,1079-33-0,1970-01-01,2099-12-31,
,'5,7-Dihydroxyflavone',Observation,Toxin,Substance,S,480-40-0,1970-01-01,2099-12-31,
,Apomorphine,Observation,Toxin,Substance,,41372-20-7,1970-01-01,2099-12-31,
,Hypoglycin B,Observation,Toxin,Substance,,502-37-4,1970-01-01,2099-12-31,
,Oms 22,Observation,Toxin,Substance,S,3566-09-4,1970-01-01,2099-12-31,
,Metolcarb,Observation,Toxin,Substance,S,1129-41-5,1970-01-01,2099-12-31,
,'2,4,6-Trichlorophenol',Observation,Toxin,Substance,,88-06-2,1970-01-01,2099-12-31,
,Antimony pentasulfide,Observation,Toxin,Substance,,1315-04-4,1970-01-01,2099-12-31,
,Myclobutanil,Observation,Toxin,Substance,S,88671-89-0,1970-01-01,2099-12-31,
,Magnesium bromide,Observation,Toxin,Substance,,7789-48-2,1970-01-01,2099-12-31,
,Zineb,Observation,Toxin,Substance,,12122-67-7,1970-01-01,2099-12-31,
,Abrin-c,Observation,Toxin,Substance,S,53597-24-3,1970-01-01,2099-12-31,
,'1-(4,5-Dihydro-1H-imidazol-2-ylmethyl)-2,3,4,5-tetrahydro-1-benzazepine',Observation,Toxin,Substance,S,24483-78-1,1970-01-01,2099-12-31,
,4-Aminopyridine,Observation,Toxin,Substance,,504-24-5,1970-01-01,2099-12-31,
,Stannane,Observation,Toxin,Substance,S,2406-52-2,1970-01-01,2099-12-31,
,'1,2,4,8,9-Pentachlorodibenzo-p-dioxin',Observation,Toxin,Substance,S,82291-38-1,1970-01-01,2099-12-31,
,'2,2',3,3',4,4',6-Heptachlorobiphenyl',Observation,Toxin,Substance,S,52663-71-5,1970-01-01,2099-12-31,
,Econazole,Observation,Toxin,Substance,,27220-47-9,1970-01-01,2099-12-31,
,'3,4-Dichlorobenzyl methylcarbamate',Observation,Toxin,Substance,S,2328-31-6,1970-01-01,2099-12-31,
,Avermectin B1b,Observation,Toxin,Substance,S,65195-56-4,1970-01-01,2099-12-31,
,Dihydrouracil,Observation,Toxin,Substance,,504-07-4,1970-01-01,2099-12-31,
,Arsenocholine,Observation,Toxin,Substance,S,39895-81-3,1970-01-01,2099-12-31,
,Allopumiliotoxin,Observation,Toxin,Substance,S,73376-38-2,1970-01-01,2099-12-31,
,'2,2',3,5,5',6-Hexabromobiphenyl',Observation,Toxin,Substance,S,119264-53-8,1970-01-01,2099-12-31,
,Heptanal,Observation,Toxin,Substance,,111-71-7,1970-01-01,2099-12-31,
,'2,3,4,4',5-Pentabromobiphenyl',Observation,Toxin,Substance,S,96551-70-1,1970-01-01,2099-12-31,
,Barium zirconium oxide,Observation,Toxin,Substance,S,12009-21-1,1970-01-01,2099-12-31,
,Phenolphthalein,Observation,Toxin,Substance,,77-09-8,1970-01-01,2099-12-31,
,Mesaconitine,Observation,Toxin,Substance,S,2752-64-9,1970-01-01,2099-12-31,
,Nickel phosphate,Observation,Toxin,Substance,S,14396-43-1,1970-01-01,2099-12-31,
,Ammonium lauryl sulfate,Observation,Toxin,Substance,S,2235-54-3,1970-01-01,2099-12-31,
,4-Decenal,Observation,Toxin,Substance,S,30390-50-2,1970-01-01,2099-12-31,
,Dihydrotachysterol,Observation,Toxin,Substance,,67-96-9,1970-01-01,2099-12-31,
,Lead bromide,Observation,Toxin,Substance,S,10031-22-8,1970-01-01,2099-12-31,
,Mancozeb,Observation,Toxin,Substance,,8018-01-07,1970-01-01,2099-12-31,
,Cobalt(II) oxide,Observation,Toxin,Substance,S,1307-96-6,1970-01-01,2099-12-31,
,'1,2,3,8,9-Pentachlorodibenzo-p-dioxin',Observation,Toxin,Substance,S,71925-18-3,1970-01-01,2099-12-31,
,'2,2',3,4,4',5,5'-Heptachlorobiphenyl',Observation,Toxin,Substance,S,35065-29-3,1970-01-01,2099-12-31,
,Lysergol,Observation,Toxin,Substance,S,602-85-7,1970-01-01,2099-12-31,
