synonym_concept_id,synonym_name,synonym_concept_code,synonym_vocabulary_id,language_concept_id
,alpha-Conotoxin,OMOP5182363,Toxin,4180186
,Alpha-conotoxin GI,OMOP5182363,Toxin,4180186
,Alpha-conotoxin GIA,OMOP5182363,Toxin,4180186
,G1,OMOP5182363,Toxin,4180186
,Lipocalin-1/4,OMOP5182372,Toxin,4180186
,Prothrombin activator,OMOP5182372,Toxin,4180186
,Imperatoxin I,OMOP5182375,Toxin,4180186
,Imperatoxin inhibitor,OMOP5182375,Toxin,4180186
,IpTx1,OMOP5182375,Toxin,4180186
,IpTxi,OMOP5182375,Toxin,4180186
,Phospholipase A2 imperatoxin-1,OMOP5182375,Toxin,4180186
,Janus-AcTx-Hv1c,OMOP5182398,Toxin,4180186
,Janus-atracotoxin-Hv1c,OMOP5182398,Toxin,4180186
,Kappa-AcTx-Hv1c,OMOP5182398,Toxin,4180186
,kappa-Atracotoxin,OMOP5182398,Toxin,4180186
,Kappa-atracotoxin-Hv1c,OMOP5182398,Toxin,4180186
,Kappa-hexatoxin-Hv1c,OMOP5182398,Toxin,4180186
,Kappa-HXTX-Hv1c,OMOP5182398,Toxin,4180186
,m-Conotoxin,OMOP5182458,Toxin,4180186
,mu-Conotoxin,OMOP5182458,Toxin,4180186
,Mu-conotoxin P3.7,OMOP5182458,Toxin,4180186
,Mu-conotoxin PIIIA,OMOP5182458,Toxin,4180186
,BoNT/A,OMOP5182460,Toxin,4180186
,Bontoxilysin-A,OMOP5182460,Toxin,4180186
,Box jellyfish toxin,OMOP5182547,Toxin,4180186
,Toxin CfTX-1,OMOP5182547,Toxin,4180186
,omega-Conotoxin,OMOP5182574,Toxin,4180186
,Omega-conotoxin SVIA,OMOP5182574,Toxin,4180186
,w-Conotoxin,OMOP5182574,Toxin,4180186
,Alpha-toxin,OMOP5182586,Toxin,4180186
,Hemolysin,OMOP5182586,Toxin,4180186
,Lecithinase,OMOP5182586,Toxin,4180186
,Phosphatidylcholine cholinephosphohydrolase,OMOP5182586,Toxin,4180186
,Phospholipase C,OMOP5182586,Toxin,4180186
,PLC,OMOP5182586,Toxin,4180186
,King cobra toxin,OMOP5182594,Toxin,4180186
,Neoverrucotoxin subunity alpha,OMOP5182598,Toxin,4180186
,Neoverrucotoxin subunity beta,OMOP5182598,Toxin,4180186
,NeoVTX,OMOP5182598,Toxin,4180186
,ETA,OMOP5182613,Toxin,4180186
,Exotoxin A,OMOP5182613,Toxin,4180186
,NAD(+)--diphthamide ADP-ribosyltransferase,OMOP5182613,Toxin,4180186
,Actin-specific ADP-ribosyltransferase,OMOP5182616,Toxin,4180186
,cdtB,OMOP5182616,Toxin,4180186
,Clostridium difficile binary toxin B,OMOP5182616,Toxin,4180186
,CGX-1051,OMOP5182621,Toxin,4180186
,Fin-popping peptide,OMOP5182621,Toxin,4180186
,k-Conotoxin,OMOP5182621,Toxin,4180186
,kappa-Conotoxin,OMOP5182621,Toxin,4180186
,Kappa-conotoxin PVIIA,OMOP5182621,Toxin,4180186
,THI1,OMOP5182641,Toxin,4180186
,Thionin,OMOP5182641,Toxin,4180186
,'2,2',3,4,5,6-Hexabromo-1,1'-biphenyl',OMOP5182642,Toxin,4180186
,EntB,OMOP5182645,Toxin,4180186
,Enterontoxin B,OMOP5182645,Toxin,4180186
,SEB,OMOP5182645,Toxin,4180186
,BoNT/D,OMOP5182662,Toxin,4180186
,Bontoxilysin-D,OMOP5182662,Toxin,4180186
,BoNT/G,OMOP5182720,Toxin,4180186
,Bontoxilysin-G,OMOP5182720,Toxin,4180186
,Actin-specific ADP-ribosyltransferase,OMOP5182732,Toxin,4180186
,cdtA,OMOP5182732,Toxin,4180186
,Clostridium difficile binary toxin A,OMOP5182732,Toxin,4180186
,BoNT/F,OMOP5182733,Toxin,4180186
,Bontoxilysin-F,OMOP5182733,Toxin,4180186
,Abrin B,OMOP5182737,Toxin,4180186
,BoNT/C1,OMOP5182761,Toxin,4180186
,Bontoxilysin-C1,OMOP5182761,Toxin,4180186
,Dermonecrotic toxin,OMOP5182776,Toxin,4180186
,DNT,OMOP5182776,Toxin,4180186
,Mitogenic toxin,OMOP5182776,Toxin,4180186
,PMT,OMOP5182776,Toxin,4180186
,Acidic phospholipase A2 RV-7,OMOP5182777,Toxin,4180186
,Phosphatidylcholine 2-acylhydrolase,OMOP5182777,Toxin,4180186
,Phospholipase A2 inhibitor,OMOP5182777,Toxin,4180186
,svPLA2,OMOP5182777,Toxin,4180186
,Viperotoxin F,OMOP5182777,Toxin,4180186
,Ply,OMOP5182835,Toxin,4180186
,Thiol-activated cytolysn,OMOP5182835,Toxin,4180186
,Leukocidin S-subunit,OMOP5182837,Toxin,4180186
,LukS,OMOP5182837,Toxin,4180186
,SNTX,OMOP5182863,Toxin,4180186
,Stonustoxin subunit alpha,OMOP5182863,Toxin,4180186
,Stonustoxin subunit beta,OMOP5182863,Toxin,4180186
,StxA,OMOP5182875,Toxin,4180186
,BoNT/B,OMOP5182877,Toxin,4180186
,Bontoxilysin-B,OMOP5182877,Toxin,4180186
,(-)-alpha-Acetylmethadol,1477-40-3,Toxin,4180186
,'(1S,4S)-4-(dimethylamino)-1-Ethyl-2,2-diphenylpentyl acetate',1477-40-3,Toxin,4180186
,1-alpha-Acetylmethadol,1477-40-3,Toxin,4180186
,LAAM,1477-40-3,Toxin,4180186
,Levacetilmetadol,1477-40-3,Toxin,4180186
,Levacetylmethadol,1477-40-3,Toxin,4180186
,Levacetylmethadolum,1477-40-3,Toxin,4180186
,Levo-alpha-acetylmethadol,1477-40-3,Toxin,4180186
,Levo-Alphacetylmethadol,1477-40-3,Toxin,4180186
,Levo-Methadyl Acetate,1477-40-3,Toxin,4180186
,Levo-\u03b1-acetylmethadol,1477-40-3,Toxin,4180186
,Levomethadyl,1477-40-3,Toxin,4180186
,Levomethadyl acetate,1477-40-3,Toxin,4180186
,Levomethadyl acetic acid,1477-40-3,Toxin,4180186
,Nor-LAAM,1477-40-3,Toxin,4180186
,Orlaam,1477-40-3,Toxin,4180186
,Silver monosulfide,21548-73-2,Toxin,4180186
,Silver sulphide,21548-73-2,Toxin,4180186
,Aluminumtriethanide,97-93-8,Toxin,4180186
,ATE,97-93-8,Toxin,4180186
,TEA,97-93-8,Toxin,4180186
,Triethylalane,97-93-8,Toxin,4180186
,Triethylaluminum solution,97-93-8,Toxin,4180186
,'2,2',6-PCB',38444-73-4,Toxin,4180186
,'2,2',6-Trichloro-1,1'-biphenyl',38444-73-4,Toxin,4180186
,PCB 19,38444-73-4,Toxin,4180186
,Dizinc orthosilicate,13597-65-4,Toxin,4180186
,'Silicic acid (H4sio4), zinc salt (1:2)',13597-65-4,Toxin,4180186
,'Silicic acid, zinc salt',13597-65-4,Toxin,4180186
,Zinc silicic acid,13597-65-4,Toxin,4180186
,Thioplex,52-24-4,Toxin,4180186
,'(2S,3R,4bS,6aS,9aS,15bS,15cR,17aS)-4b-hydroxy-2-(2-hydroxypropan-2-yl)-10,10,12,12,15b,15c-hexamethyl-3,4b,5,6,6a,7,9,9a,10,12,15,15b,15c,16,17,17a-hexadecahydro-2H-chromeno5',6':6,7indeno1,2-bpyrano4',3':3,4cyclopenta1,2-findol-3-yl acetate',90986-51-9,Toxin,4180186
,'2,2',4,5',6-Pentabromo-1,1'-biphenyl',59080-39-6,Toxin,4180186
,Abilify,129722-12-9,Toxin,4180186
,Abilitat,129722-12-9,Toxin,4180186
,Aripiprazol,129722-12-9,Toxin,4180186
,Aripiprazolum,129722-12-9,Toxin,4180186
,OPC 31,129722-12-9,Toxin,4180186
,'2, 3-Benzofluoranthene',205-99-2,Toxin,4180186
,'2,3-Benzfluoranthene',205-99-2,Toxin,4180186
,'2,3-Benzofluoranthene',205-99-2,Toxin,4180186
,'2,3-Benzofluoranthrene',205-99-2,Toxin,4180186
,'3,4-Benz(e)acephenanthrylene',205-99-2,Toxin,4180186
,'3,4-Benzfluoranthene',205-99-2,Toxin,4180186
,'3,4-Benzofluoranthene',205-99-2,Toxin,4180186
,'3,4-Benzofluoranthrene',205-99-2,Toxin,4180186
,'3,{4-Benzeacephenanthrylene}',205-99-2,Toxin,4180186
,'4,5-Benzofluoranthene',205-99-2,Toxin,4180186
,b(b)F,205-99-2,Toxin,4180186
,Benz(e)acephenanthrylene,205-99-2,Toxin,4180186
,Benzo(b)fluoranthene,205-99-2,Toxin,4180186
,Benzo(e)fluoranthene,205-99-2,Toxin,4180186
,Benzobfluoranthene solution,205-99-2,Toxin,4180186
,Benzoeacephenanthrylene,205-99-2,Toxin,4180186
,Benzoefluoranthene,205-99-2,Toxin,4180186
,Benzbfluoranthene,205-99-2,Toxin,4180186
,BF,205-99-2,Toxin,4180186
,'2,3-Dihydro-2-methyl-7-benzofuranol methylcarbamate',1563-67-3,Toxin,4180186
,'2,3-Dihydro-2-methyl-7-benzofuranyl methylcarbamate',1563-67-3,Toxin,4180186
,'7-Benzofuranol, 2,3-dihydro-2-methyl-, methylcarbamate',1563-67-3,Toxin,4180186
,Ansar,15132-04-4,Toxin,4180186
,Arsan,15132-04-4,Toxin,4180186
,Bolate,15132-04-4,Toxin,4180186
,Bolls,15132-04-4,Toxin,4180186
,Cacodylate,15132-04-4,Toxin,4180186
,Cacodylic acid,15132-04-4,Toxin,4180186
,Chexmate,15132-04-4,Toxin,4180186
,Dimethylarsinic acid,15132-04-4,Toxin,4180186
,DMAA,15132-04-4,Toxin,4180186
,Erase,15132-04-4,Toxin,4180186
,Hydroxydimethylarsine oxide,15132-04-4,Toxin,4180186
,Moncide,15132-04-4,Toxin,4180186
,Phytar,15132-04-4,Toxin,4180186
,Phytar 560,15132-04-4,Toxin,4180186
,Silvisar,15132-04-4,Toxin,4180186
,(CH3)2AsH,593-57-7,Toxin,4180186
,Dimethylarsane,593-57-7,Toxin,4180186
,Dimethylarsenic,593-57-7,Toxin,4180186
,DBT,1002-53-5,Toxin,4180186
,Di-n-butyltin,1002-53-5,Toxin,4180186
,Dibutylstannane,1002-53-5,Toxin,4180186
,Dibutyltin,1002-53-5,Toxin,4180186
,SnBu2H2,1002-53-5,Toxin,4180186
,sn(Bu)2H2,1002-53-5,Toxin,4180186
,'1,2,3,4,6,7-hexabromo-dibenzofuran',124388-78-9,Toxin,4180186
,Ammonium hexachloropalladate(IV),7440-05-3,Toxin,4180186
,'2,2',5,6'-PCB',41464-41-9,Toxin,4180186
,'2,2',5,6'-Tetrachloro-1,1'-biphenyl',41464-41-9,Toxin,4180186
,PCB 53,41464-41-9,Toxin,4180186
,'3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro4.5dec-3-en-4-yl 2,2-dimethylbutyrate, 3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro4.5dec-3-en-4-yl 2,2-dimethylbutanoate',148477-71-8,Toxin,4180186
,'1,3,8-Trichloro-6-methyl-dibenzofuran',118174-38-2,Toxin,4180186
,6-MCDF,118174-38-2,Toxin,4180186
,MCDF,118174-38-2,Toxin,4180186
,Thiomebumalum,76-75-5,Toxin,4180186
,'2,3,3',4,4',5,5'-Heptachloro-1,1'-biphenyl',39635-31-9,Toxin,4180186
,'2,3,3',4,4',5,5'-PCB',39635-31-9,Toxin,4180186
,'2,3,4,5,3',4',5'-Heptachloro-1,1'-biphenyl',39635-31-9,Toxin,4180186
,'2,3,4,5,3',4',5'-Heptachlorobiphenyl',39635-31-9,Toxin,4180186
,PCB 189,39635-31-9,Toxin,4180186
,Potassium antimony hexafluoride,16893-92-8,Toxin,4180186
,Potassium hexafluoroantimonic acid(V),16893-92-8,Toxin,4180186
,'(2e)-3-Benzyl-2-(nitromethylidene)-1,3-thiazolidine',94776-91-7,Toxin,4180186
,2-(Nitromethylene)-3-(phenylmethyl)thiazolidine,94776-91-7,Toxin,4180186
,3-Benzyl-2-nitromethylenethiazolidine,94776-91-7,Toxin,4180186
,'1,2,4,6,8-PENTACHLORODIBENZOFURAN',69698-57-3,Toxin,4180186
,'Dibenzofuran, 1,2,4,6,8-pentachloro',69698-57-3,Toxin,4180186
,Blenoxane,11056-06-7,Toxin,4180186
,Bleo,11056-06-7,Toxin,4180186
,Bleocin,11056-06-7,Toxin,4180186
,Bleomicin,11056-06-7,Toxin,4180186
,Bleomicina,11056-06-7,Toxin,4180186
,Bleomycin A2,11056-06-7,Toxin,4180186
,Bleomycin sulfate,11056-06-7,Toxin,4180186
,Bleomycin sulphate,11056-06-7,Toxin,4180186
,Bleomycine,11056-06-7,Toxin,4180186
,Bleomycinum,11056-06-7,Toxin,4180186
,BLM,11056-06-7,Toxin,4180186
,N-Hexane,110-54-3,Toxin,4180186
,'1,4,7,8-tetrachloro dibenzo-p-dioxin',40581-94-0,Toxin,4180186
,'1,4,7,8-Tetrachlorodibenzo(b,e)(1,4)dioxin',40581-94-0,Toxin,4180186
,'1,4,7,8-TETRACHLORODIBENZO-P-DIOXIN',40581-94-0,Toxin,4180186
,'1,4,7,8-Tetrachlorodibenzo-P-dioxin',40581-94-0,Toxin,4180186
,'Dibenzo-p-dioxin, 1,4,7,8-tetrachloro',40581-94-0,Toxin,4180186
,(-)-Serine,56-45-1,Toxin,4180186
,(2S)-2-amino-3-Hydroxypropanoic acid,56-45-1,Toxin,4180186
,(S)-(-)-Serine,56-45-1,Toxin,4180186
,(S)-(\u2212)-serine,56-45-1,Toxin,4180186
,(S)-2-amino-3-hydroxy-Propanoate,56-45-1,Toxin,4180186
,(S)-2-amino-3-hydroxy-Propanoic acid,56-45-1,Toxin,4180186
,(S)-2-Amino-3-hydroxypropanoate,56-45-1,Toxin,4180186
,(S)-2-Amino-3-hydroxypropanoic acid,56-45-1,Toxin,4180186
,(S)-a-Amino-b-hydroxypropionate,56-45-1,Toxin,4180186
,(S)-a-Amino-b-hydroxypropionic acid,56-45-1,Toxin,4180186
,(S)-alpha-Amino-beta-hydroxypropionate,56-45-1,Toxin,4180186
,(S)-alpha-Amino-beta-hydroxypropionic acid,56-45-1,Toxin,4180186
,(S)-b-Amino-3-hydroxypropionate,56-45-1,Toxin,4180186
,(S)-b-Amino-3-hydroxypropionic acid,56-45-1,Toxin,4180186
,(S)-beta-Amino-3-hydroxypropionate,56-45-1,Toxin,4180186
,(S)-beta-Amino-3-hydroxypropionic acid,56-45-1,Toxin,4180186
,(S)-Serine,56-45-1,Toxin,4180186
,2-Amino-3-hydroxypropanoate,56-45-1,Toxin,4180186
,2-Amino-3-hydroxypropanoic acid,56-45-1,Toxin,4180186
,3-Hydroxy-L-Alanine,56-45-1,Toxin,4180186
,b-Hydroxy-L-alanine,56-45-1,Toxin,4180186
,beta-Hydroxy-L-alanine,56-45-1,Toxin,4180186
,beta-Hydroxyalanine,56-45-1,Toxin,4180186
,L-(-)-Serine,56-45-1,Toxin,4180186
,L-(\u2212)-serine,56-45-1,Toxin,4180186
,L-2-Amino-3-hydroxypropionic acid,56-45-1,Toxin,4180186
,L-3-Hydroxy-2-aminopropionate,56-45-1,Toxin,4180186
,L-3-Hydroxy-2-aminopropionic acid,56-45-1,Toxin,4180186
,L-3-Hydroxy-alanine,56-45-1,Toxin,4180186
,L-Ser,56-45-1,Toxin,4180186
,L-Serin,56-45-1,Toxin,4180186
,S,56-45-1,Toxin,4180186
,Ser,56-45-1,Toxin,4180186
,Serine,56-45-1,Toxin,4180186
,'2,2',4,5',6-PCB',60145-21-3,Toxin,4180186
,'2,2',4,5',6-Pentachloro-1,1'-biphenyl',60145-21-3,Toxin,4180186
,'2,2',4,5,5'-Pentachloro-1,1'-biphenyl',60145-21-3,Toxin,4180186
,'2,2',4,5,5'-Pentachlorobiphenyl',60145-21-3,Toxin,4180186
,PCB 103,60145-21-3,Toxin,4180186
,'2,2',3,4,5,6,6'-Heptachloro-1,1'-biphenyl',74472-49-4,Toxin,4180186
,'2,2',3,4,5,6,6'-PCB',74472-49-4,Toxin,4180186
,PCB 186,74472-49-4,Toxin,4180186
,'1,2,7,9-tetrachloro dibenzo-p-dioxin',50585-46-1,Toxin,4180186
,'1,2,7,9-Tetrachlorooxanthrene',50585-46-1,Toxin,4180186
,'1,3,7,8-Tetrachlorodibenzo-4-dioxin',50585-46-1,Toxin,4180186
,'1,3,7,8-Tetrachlorodibenzo-P-dioxin',50585-46-1,Toxin,4180186
,'1,3,7,8-Tetrachlorodibenzo-para-dioxin',50585-46-1,Toxin,4180186
,'1,3,7,8-Tetrachlorodibenzodioxin',50585-46-1,Toxin,4180186
,'Dibenzo-p-dioxin, 1,2,7,9-tetrachloro',50585-46-1,Toxin,4180186
,Manganese oxide,1317-35-7,Toxin,4180186
,Manganese tetroxide,1317-35-7,Toxin,4180186
,'Manganese(II,III) oxide',1317-35-7,Toxin,4180186
,Manganomanganic oxide,1317-35-7,Toxin,4180186
,Trimanganese tetraoxide,1317-35-7,Toxin,4180186
,Trimanganese tetroxide,1317-35-7,Toxin,4180186
,'(3-alpha,4-beta-)-3-Acetoxyscirpene-4,15-diol',70402-13-0,Toxin,4180186
,(+-)-Thiopental,76-75-5,Toxin,4180186
,2-Thio-5-ethyl-5-sec-pentylbarbituric acid,76-75-5,Toxin,4180186
,'5-Ethyl-5-(1-methyl-butyl)-2-thioxo-dihydro-pyrimidine-4,6-dione',76-75-5,Toxin,4180186
,Anestho,76-75-5,Toxin,4180186
,Bensulf,76-75-5,Toxin,4180186
,Bitaryl,76-75-5,Toxin,4180186
,Bitol Sodium,76-75-5,Toxin,4180186
,Ekipental,76-75-5,Toxin,4180186
,Farmotal,76-75-5,Toxin,4180186
,Intraval Sodium,76-75-5,Toxin,4180186
,Omexolon,76-75-5,Toxin,4180186
,Pental Sodyum,76-75-5,Toxin,4180186
,Pentazol,76-75-5,Toxin,4180186
,Penthal,76-75-5,Toxin,4180186
,Penthiobarbital,76-75-5,Toxin,4180186
,Penthotal Sodium,76-75-5,Toxin,4180186
,Pentotan,76-75-5,Toxin,4180186
,Pentotex,76-75-5,Toxin,4180186
,Pentothal,76-75-5,Toxin,4180186
,Pentothiobarbital,76-75-5,Toxin,4180186
,Ravonal,76-75-5,Toxin,4180186
,Sodium Pentothal,76-75-5,Toxin,4180186
,Thiomebumal,76-75-5,Toxin,4180186
,Thionembutal,76-75-5,Toxin,4180186
,Thiopen,76-75-5,Toxin,4180186
,Thiopentobarbital,76-75-5,Toxin,4180186
,Thiopentobarbitone,76-75-5,Toxin,4180186
,Thiopentobarbituric acid,76-75-5,Toxin,4180186
,Thiopentone,76-75-5,Toxin,4180186
,Tiopental,76-75-5,Toxin,4180186
,Tiopentale,76-75-5,Toxin,4180186
,Trapanal,76-75-5,Toxin,4180186
,'1,2,5,6-Dibenzanthracene',53-70-3,Toxin,4180186
,'1,2:5, 6-Dibenzanthracene',53-70-3,Toxin,4180186
,'1,2:5,6-Benzanthracene',53-70-3,Toxin,4180186
,'1,2:5,6-Dibenz(a)anthracene',53-70-3,Toxin,4180186
,'1,2:5,6-Dibenzanthracene',53-70-3,Toxin,4180186
,'1,2:5,6-Dibenzoanthracene',53-70-3,Toxin,4180186
,Benzoktetraphene,53-70-3,Toxin,4180186
,'Benza,hanthracene',53-70-3,Toxin,4180186
,DBA,53-70-3,Toxin,4180186
,'Dibenz(a,h)anthracene',53-70-3,Toxin,4180186
,'Dibenz(a,h)antracene',53-70-3,Toxin,4180186
,Dibenzathracene,53-70-3,Toxin,4180186
,'Dibenzaa,h-anthracene',53-70-3,Toxin,4180186
,'Dibenzo(a,h)anthracene',53-70-3,Toxin,4180186
,'Dibenzoa,Hanthracene',53-70-3,Toxin,4180186
,'Dibenza,Hanthracene',53-70-3,Toxin,4180186
,'Permanganic acid (hmno4), sodium salt',10101-50-5,Toxin,4180186
,'Permanganic acid, sodium salt',10101-50-5,Toxin,4180186
,Sodium permanganic acid,10101-50-5,Toxin,4180186
,Sodium permangate,10101-50-5,Toxin,4180186
,1-Methyl-2-(nitromethylene)pyrrolidine,26171-05-1,Toxin,4180186
,1-Methyl-2-nitromethylene-pyrrolidine,26171-05-1,Toxin,4180186
,a-PMTX,202075-91-0,Toxin,4180186
,a-Pompilidotoxin,202075-91-0,Toxin,4180186
,alpha PMTX,202075-91-0,Toxin,4180186
,alpha-PMTX,202075-91-0,Toxin,4180186
,'1,3,5,7-Tetraazaadamantane',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo (3.3.1.1(3,7))decane',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo(3.3.1.13,7)decane',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo(3.3.1.13,7)decane hydroiodide',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo(3.3.1.137)decane',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo3.3.1.1(3,7)decane',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo3.3.1.13,7 decane',100-97-0,Toxin,4180186
,'1,3,5,7-Tetraazatricyclo3.3.1.1~3,7~decane',100-97-0,Toxin,4180186
,Aceto HMT,100-97-0,Toxin,4180186
,Aminoform,100-97-0,Toxin,4180186
,Aminoformaldehyde,100-97-0,Toxin,4180186
,Ammoform,100-97-0,Toxin,4180186
,Ammonioformaldehyde,100-97-0,Toxin,4180186
,Antihydral,100-97-0,Toxin,4180186
,Carin,100-97-0,Toxin,4180186
,Cystamin,100-97-0,Toxin,4180186
,Cystogen,100-97-0,Toxin,4180186
,Duirexol,100-97-0,Toxin,4180186
,E239,100-97-0,Toxin,4180186
,Ekagom h,100-97-0,Toxin,4180186
,Esametilentetramina,100-97-0,Toxin,4180186
,Formaldehyde-ammonia 6:4,100-97-0,Toxin,4180186
,Formamine,100-97-0,Toxin,4180186
,Formin,100-97-0,Toxin,4180186
,Formin (heterocycle),100-97-0,Toxin,4180186
,Formin (the heterocyclic compound),100-97-0,Toxin,4180186
,Grasselerator 102,100-97-0,Toxin,4180186
,H.m.t.,100-97-0,Toxin,4180186
,Herax UTS,100-97-0,Toxin,4180186
,Heterin,100-97-0,Toxin,4180186
,HEX,100-97-0,Toxin,4180186
,Hexa,100-97-0,Toxin,4180186
,Hexa (vulcanization accelerator),100-97-0,Toxin,4180186
,Hexa-flo-pulver,100-97-0,Toxin,4180186
,Hexaform,100-97-0,Toxin,4180186
,Hexaloids,100-97-0,Toxin,4180186
,Hexamethylamine,100-97-0,Toxin,4180186
,Hexamethylenamine,100-97-0,Toxin,4180186
,Hexamethylene tetramine,100-97-0,Toxin,4180186
,Hexamethyleneamine,100-97-0,Toxin,4180186
,Hexamethylenetetraamine,100-97-0,Toxin,4180186
,Hexamethylenetetramine,100-97-0,Toxin,4180186
,Hexamethylenetetramine (aliphatic),100-97-0,Toxin,4180186
,'Hexamethylenetetramine, 8CI',100-97-0,Toxin,4180186
,'Hexamethylenetetramine, acs',100-97-0,Toxin,4180186
,Hexamethylenetetramine-palladium chloride adduct,100-97-0,Toxin,4180186
,Hexamethylenetetraminum,100-97-0,Toxin,4180186
,Hexamethylentetramin,100-97-0,Toxin,4180186
,Hexamethylentetramine,100-97-0,Toxin,4180186
,Hexamethylentetraminum,100-97-0,Toxin,4180186
,Hexamine,100-97-0,Toxin,4180186
,Hexamine (heterocycle),100-97-0,Toxin,4180186
,Hexamine silver,100-97-0,Toxin,4180186
,Hexaminum,100-97-0,Toxin,4180186
,Hexasan,100-97-0,Toxin,4180186
,Hexilmethylenamine,100-97-0,Toxin,4180186
,HMT,100-97-0,Toxin,4180186
,HMTA,100-97-0,Toxin,4180186
,Mandelamine,100-97-0,Toxin,4180186
,Metenamina,100-97-0,Toxin,4180186
,Methamin,100-97-0,Toxin,4180186
,Methenamin,100-97-0,Toxin,4180186
,Methenamine,100-97-0,Toxin,4180186
,Methenamine silver,100-97-0,Toxin,4180186
,Methenaminum,100-97-0,Toxin,4180186
,Metramine,100-97-0,Toxin,4180186
,Naphthamine,100-97-0,Toxin,4180186
,Natasol fast orange GR salt,100-97-0,Toxin,4180186
,Nocceler H,100-97-0,Toxin,4180186
,Preparation af,100-97-0,Toxin,4180186
,Resotropin,100-97-0,Toxin,4180186
,S 4 (Heterocycle),100-97-0,Toxin,4180186
,Sanceler h,100-97-0,Toxin,4180186
,Silver methenamine,100-97-0,Toxin,4180186
,Tetraazaadamantane,100-97-0,Toxin,4180186
,Uramin,100-97-0,Toxin,4180186
,Uratrine,100-97-0,Toxin,4180186
,Urisol,100-97-0,Toxin,4180186
,Uritone,100-97-0,Toxin,4180186
,Uro-phosphate,100-97-0,Toxin,4180186
,Urodeine,100-97-0,Toxin,4180186
,Urotropin,100-97-0,Toxin,4180186
,Urotropine,100-97-0,Toxin,4180186
,Vesaloin,100-97-0,Toxin,4180186
,Vesalvine,100-97-0,Toxin,4180186
,Vulkacit H 30,100-97-0,Toxin,4180186
,Vulkacit H30,100-97-0,Toxin,4180186
,Xametrin,100-97-0,Toxin,4180186
,'16-Adamazane, INN',100-97-0,Toxin,4180186
,Aluminum antimonide,25152-52-7,Toxin,4180186
