county_ref_id,county_name,state,urban_density_category,pm25_baseline_mean,ses_index,centroid_lat,centroid_lon,patient_count
2786,Adams County,UT,Small Town,6.32,62.0,37.610,-111.777,8
1797,Lincoln County,NM,Suburban,9.16,61.8,36.423,-107.799,8
1824,Lawrence County,NM,Small Town,7.74,75.8,35.607,-103.867,8
896,Clay County,KS,Small Town,8.30,22.5,38.079,-98.471,8
2209,Franklin County,OR,Small Town,6.31,39.3,43.210,-123.710,8
791,Franklin County,IA,Suburban,8.53,48.4,41.071,-92.621,8
2626,Scott County,TX,Suburban,8.36,63.4,27.175,-103.572,8
1447,Monroe County,MS,Suburban,10.19,29.8,32.491,-88.584,8
1886,Hamilton County,NY,Suburban,10.34,68.4,42.913,-77.483,8
41,Washington County,AL,Rural,4.00,23.6,34.779,-87.949,8
1048,Montgomery County,KY,Suburban,11.02,63.6,38.835,-87.175,8
2485,Douglas County,TN,Small Town,8.71,93.2,36.134,-89.967,8
580,Knox County,ID,Small Town,7.63,67.6,44.572,-111.126,8
2207,Washington County,OR,Small Town,6.67,64.2,43.961,-122.059,8
1820,Carroll County,NM,Small Town,8.56,33.8,32.079,-108.004,7
1000,Union County,KY,Suburban,9.47,42.6,36.914,-82.361,7
2226,Hamilton County,OR,Small Town,7.28,81.0,42.622,-122.149,7
1713,Perry County,NE,Small Town,6.33,71.0,40.354,-99.423,7
2811,Monroe County,VT,Small Town,6.61,51.5,43.503,-72.078,7
217,Lawrence County,CA,Suburban,8.89,47.9,41.891,-121.614,7
1757,Wayne County,NV,Suburban,10.57,15.5,40.087,-119.729,7
2188,Douglas County,OK,Suburban,10.33,83.6,35.377,-95.396,7
2959,Monroe County,WV,Rural,4.77,14.9,39.072,-80.717,7
3089,Marion County,WY,Rural,3.76,92.7,41.039,-104.855,7
2972,Hamilton County,WV,Suburban,8.79,44.3,39.079,-81.461,7
110,Warren County,AZ,Suburban,9.18,88.7,35.073,-112.505,7
1625,Johnson County,MT,Rural,6.15,27.8,45.285,-108.731,7
552,Jefferson County,ID,Small Town,6.62,51.0,47.517,-115.190,7
666,Morgan County,IL,Small Town,8.97,16.6,40.459,-91.218,7
864,Sullivan County,IA,Rural,4.50,69.8,42.197,-91.981,7
236,Marion County,CA,Urban Core,18.14,45.6,37.426,-114.367,7
1019,Carroll County,KY,Suburban,9.41,88.8,37.718,-88.475,7
339,Hamilton County,FL,Small Town,8.26,46.2,24.813,-81.547,7
79,Wayne Borough,AK,Rural,3.86,44.1,63.654,-146.813,7
571,Perry County,ID,Small Town,8.71,48.5,47.575,-116.741,7
720,Randolph County,IN,Suburban,10.00,64.7,40.461,-86.275,7
351,Morgan County,FL,Suburban,10.13,25.7,28.572,-80.131,7
533,Carroll County,GA,Suburban,8.91,16.6,32.620,-85.218,7
1302,Morgan County,MI,Suburban,11.05,70.0,48.022,-88.931,7
148,Wilson County,AR,Small Town,6.50,25.4,33.641,-92.452,7
1299,Johnson County,MI,Small Town,8.38,36.8,42.859,-85.249,7
971,Lincoln County,KS,Suburban,9.83,74.0,39.573,-97.475,7
2313,Lincoln County,RI,Suburban,8.09,73.8,41.433,-71.349,7
3054,Monroe County,WI,Suburban,11.73,51.8,43.367,-92.371,7
892,Madison County,KS,Rural,5.53,49.5,38.744,-95.667,7
1485,Franklin County,MO,Small Town,8.30,18.3,38.064,-92.267,7
845,Lake County,IA,Small Town,6.70,19.3,41.269,-91.625,7
1662,Marion County,NE,Small Town,8.23,80.1,40.651,-96.613,7
2606,Madison County,TX,Small Town,6.38,87.6,34.348,-104.165,7
2239,Orange County,OR,Small Town,7.01,49.3,42.974,-122.548,7
2988,Sullivan County,WV,Small Town,8.46,30.4,39.876,-80.124,7
2006,Grant County,ND,Rural,5.81,93.1,46.022,-97.017,7
1671,Douglas County,NE,Suburban,8.67,69.0,42.590,-97.419,7
1896,Union County,NC,Suburban,10.18,32.9,36.550,-76.671,7
938,Adams County,KS,Rural,4.10,57.4,37.473,-95.091,7
1540,Grant County,MO,Small Town,6.14,65.8,36.449,-91.207,7
1113,Washington Parish,LA,Rural,3.71,14.4,31.264,-89.406,7
1445,Madison County,MS,Small Town,6.64,52.2,31.881,-90.221,7
650,Montgomery County,IL,Suburban,9.12,17.5,42.279,-87.628,7
890,Franklin County,KS,Rural,5.06,17.2,39.216,-98.389,7
121,Marion County,AR,Small Town,7.28,16.8,35.291,-90.702,7
1995,Monroe County,ND,Small Town,7.97,52.9,48.443,-100.770,7
1170,Grant Parish,LA,Small Town,8.09,11.7,31.912,-90.868,7
414,Harrison County,GA,Suburban,8.83,12.0,30.912,-83.215,7
2799,Randolph County,UT,Small Town,8.31,92.1,41.997,-110.258,7
1328,Fayette County,MN,Small Town,8.51,72.8,44.434,-96.983,7
726,Knox County,IN,Small Town,6.07,59.6,38.365,-86.491,7
2121,Chester County,OH,Suburban,8.95,93.3,40.039,-80.561,7
3035,Harrison County,WI,Rural,4.76,46.7,43.707,-91.632,7
2315,Washington County,SC,Rural,4.90,18.6,34.502,-82.100,7
2473,Monroe County,TN,Small Town,6.90,74.4,35.693,-85.681,7
1067,Shelby County,KY,Rural,5.53,53.2,38.231,-89.044,7
1957,Johnson County,NC,Suburban,10.22,22.3,33.819,-84.023,7
2997,Madison County,WV,Rural,4.19,31.9,39.232,-79.403,7
2785,Marion County,UT,Small Town,6.26,45.9,39.879,-110.768,7
1035,Franklin County,KY,Suburban,9.63,11.2,38.049,-87.175,7
532,Clark County,GA,Small Town,8.65,41.0,34.391,-84.530,7
1290,Hamilton County,MI,Small Town,8.18,87.1,42.079,-84.015,7
483,Lake County,GA,Small Town,8.38,84.0,31.584,-83.681,7
1994,Jackson County,ND,Suburban,9.01,50.7,46.030,-103.483,7
2087,Jackson County,OH,Small Town,6.04,54.3,41.405,-84.326,7
1702,Marion County,NE,Suburban,10.99,52.0,40.891,-96.791,7
2501,Shelby County,TN,Suburban,9.84,30.9,35.714,-86.390,7
2562,Washington County,TX,Small Town,7.58,11.3,30.385,-99.028,7
2474,Union County,TN,Small Town,6.47,10.8,36.372,-88.157,7
124,Greene County,AR,Suburban,9.12,89.6,36.036,-93.963,7
2092,Adams County,OH,Small Town,6.91,13.5,41.185,-82.718,7
1502,Hamilton County,MO,Suburban,8.14,40.5,37.034,-92.045,7
1720,Harrison County,NE,Small Town,7.06,62.8,41.440,-95.344,7
1200,Union County,MD,Small Town,7.79,93.8,39.330,-78.100,7
1603,Monroe County,MT,Rural,4.01,61.8,44.419,-113.760,7
2999,Monroe County,WV,Rural,5.58,76.8,38.726,-79.438,7
1046,Warren County,KY,Suburban,10.47,73.2,37.144,-89.370,7
375,Montgomery County,FL,Small Town,8.52,36.6,27.733,-84.640,7
1616,Hamilton County,MT,Small Town,8.26,55.9,45.111,-115.448,7
1092,Hamilton County,KY,Small Town,6.76,19.5,36.541,-89.361,7
553,Franklin County,ID,Rural,4.89,65.7,44.159,-117.016,7
846,Grant County,IA,Suburban,9.26,44.7,42.299,-90.635,7
2860,Jefferson County,VA,Small Town,8.69,12.3,36.514,-76.377,7
1871,Madison County,NY,Suburban,9.66,64.8,41.060,-77.919,7
505,Cass County,GA,Small Town,7.79,49.5,33.910,-82.216,7
2276,Ross County,PA,Suburban,9.66,79.3,41.181,-76.337,7
2861,Franklin County,VA,Suburban,9.71,43.5,39.254,-78.856,7
2019,Lawrence County,ND,Small Town,6.16,58.0,47.955,-100.576,7
2584,Polk County,TX,Small Town,8.24,87.0,30.485,-101.779,7
1103,Lawrence County,KY,Small Town,7.74,14.1,36.840,-87.239,7
367,Union County,FL,Small Town,6.64,63.0,27.737,-83.844,7
708,Wayne County,IN,Small Town,8.82,36.8,41.184,-85.284,7
2568,Monroe County,TX,Small Town,6.15,38.4,26.623,-99.401,7
663,Johnson County,IL,Small Town,7.73,71.7,37.332,-91.311,7
1762,Lake County,NV,Small Town,6.30,88.8,41.380,-119.386,7
723,Carroll County,IN,Suburban,11.50,10.7,38.277,-85.959,6
288,Lincoln County,CO,Small Town,8.49,70.4,40.856,-106.528,6
2112,Lawrence County,OH,Suburban,8.74,50.3,41.588,-84.563,6
2196,Carroll County,OK,Rural,4.46,18.6,36.078,-102.833,6
1568,Jackson County,MO,Rural,5.45,20.8,39.771,-91.978,6
944,Lake County,KS,Suburban,8.50,85.8,39.516,-95.731,6
1754,Clay County,NV,Rural,6.14,20.3,38.542,-119.756,6
168,Lake County,AR,Rural,5.38,71.3,34.880,-92.933,6
204,Grant County,CA,Small Town,7.21,92.5,41.757,-114.273,6
475,Clay County,GA,Small Town,6.19,60.1,34.472,-84.830,6
612,Grant County,IL,Suburban,9.40,65.6,37.187,-88.555,6
2750,Johnson County,TX,Small Town,7.16,76.2,33.746,-101.022,6
2517,Adams County,TN,Small Town,8.31,91.9,35.672,-86.148,6
769,Orange County,IN,Suburban,11.33,37.6,39.353,-86.411,6
3053,Jackson County,WI,Rural,4.77,59.4,45.301,-91.896,6
1847,Perry County,NY,Small Town,6.89,81.6,41.171,-79.184,6
886,Grant County,IA,Small Town,8.14,20.4,41.163,-92.584,6
1490,Union County,MO,Small Town,8.55,16.8,38.900,-92.650,6
646,Wayne County,IL,Suburban,9.14,65.0,41.089,-90.564,6
698,Jefferson County,IN,Rural,5.70,64.5,40.877,-85.799,6
852,Randolph County,IA,Suburban,9.82,92.9,42.969,-95.284,6
3018,Adams County,WI,Rural,5.26,59.0,46.553,-87.111,6
1802,Clay County,NM,Small Town,8.65,27.4,34.341,-107.344,6
3085,Jackson County,WY,Rural,6.18,69.5,41.360,-109.968,6
1346,Orange County,MN,Small Town,8.55,63.4,43.784,-97.139,6
381,Pike County,FL,Suburban,8.62,11.5,30.145,-80.280,6
2100,Douglas County,OH,Suburban,9.81,16.1,38.534,-82.661,6
1423,Polk County,MS,Suburban,9.52,23.7,32.279,-88.586,6
1938,Marion County,NC,Small Town,7.89,52.7,34.667,-81.638,6
753,Lake County,IN,Small Town,8.47,12.4,40.781,-87.782,6
1881,Fayette County,NY,Suburban,11.47,59.7,44.272,-79.514,6
844,Montgomery County,IA,Small Town,8.82,71.2,41.593,-91.631,6
2454,Harrison County,TN,Small Town,8.83,66.6,36.144,-88.376,6
1172,Hamilton Parish,LA,Rural,5.51,85.5,32.060,-91.507,6
1204,Wayne County,MD,Suburban,11.16,32.3,39.006,-77.895,6
1068,Sullivan County,KY,Small Town,7.39,65.5,38.389,-84.658,6
616,Pike County,IL,Small Town,6.86,84.9,38.946,-89.390,6
311,Franklin County,CT,Suburban,10.01,75.2,41.319,-73.430,6
2602,Washington County,TX,Rural,6.30,33.5,33.501,-99.793,6
423,Wilson County,GA,Rural,3.79,82.2,33.936,-81.836,6
868,Chester County,IA,Small Town,8.77,58.0,41.345,-95.891,6
2532,Adams County,TX,Small Town,7.62,36.5,34.125,-104.808,6
1109,Wilson County,KY,Rural,6.42,27.6,38.777,-87.768,6
1699,Monroe County,NE,Rural,5.96,25.2,40.902,-99.843,6
3081,Jefferson County,WY,Small Town,6.88,18.7,44.584,-109.953,6
1846,Hamilton County,NY,Small Town,7.32,27.4,43.271,-75.791,6
1378,Scott County,MN,Suburban,8.13,74.9,49.372,-90.333,6
1114,Jefferson Parish,LA,Suburban,9.79,43.8,32.884,-91.069,6
2269,Carroll County,PA,Suburban,11.80,53.9,40.705,-76.831,6
2487,Perry County,TN,Small Town,7.52,76.3,35.321,-87.127,6
1243,Greene County,MI,Suburban,9.37,93.0,48.071,-84.015,6
2809,Madison County,VT,Rural,4.94,63.0,44.685,-71.938,6
1562,Chester County,MO,Small Town,7.93,10.4,37.677,-91.598,6
1238,Union County,MI,Small Town,7.28,58.3,46.421,-89.617,6
2129,Union County,OH,Suburban,10.30,23.0,39.536,-84.719,6
484,Grant County,GA,Suburban,11.62,72.9,32.743,-81.685,6
619,Scott County,IL,Suburban,9.15,43.5,41.905,-87.985,6
2597,Sullivan County,TX,Small Town,6.56,16.8,26.762,-103.970,6
2116,Shelby County,OH,Rural,3.87,13.0,38.996,-82.801,6
2308,Clark County,PA,Suburban,11.88,26.4,40.525,-75.952,6
2299,Lake County,PA,Small Town,7.85,46.5,41.791,-76.795,6
1975,Monroe County,NC,Small Town,6.76,13.9,35.054,-79.579,6
2916,Franklin County,WA,Suburban,10.25,12.3,47.236,-118.489,6
1895,Monroe County,NC,Small Town,6.93,64.2,36.392,-80.248,6
719,Polk County,IN,Rural,4.72,81.4,38.637,-85.748,6
1395,Jefferson County,MN,Rural,5.43,31.2,47.883,-90.223,6
2053,Wayne County,OH,Suburban,10.93,54.0,38.618,-83.069,6
118,Monroe County,AR,Suburban,8.28,37.5,34.884,-91.426,6
1126,Warren Parish,LA,Small Town,6.91,43.7,31.929,-93.393,6
1929,Washington County,NC,Suburban,8.68,49.5,35.976,-80.199,6
292,Union County,CO,Small Town,8.18,30.2,38.658,-102.655,6
504,Benton County,GA,Small Town,8.33,79.7,32.549,-83.271,6
301,Lake County,CO,Suburban,8.83,39.3,38.067,-105.152,6
638,Lincoln County,IL,Suburban,8.87,85.6,38.873,-90.425,6
2411,Adams County,SD,Small Town,6.78,80.6,44.535,-102.672,6
2698,Lake County,TX,Small Town,8.89,86.0,35.718,-98.226,6
3010,Franklin County,WI,Suburban,9.49,62.2,43.907,-91.767,6
2762,Washington County,TX,Small Town,7.22,47.8,30.175,-97.109,6
2447,Perry County,TN,Small Town,8.43,37.6,35.749,-87.497,6
576,Clark County,ID,Rural,3.84,65.6,42.787,-112.676,6
3063,Montgomery County,WI,Small Town,6.30,78.3,43.190,-86.818,6
550,Madison County,HI,Suburban,9.29,92.8,21.338,-159.630,6
2804,Johnson County,UT,Small Town,7.92,73.3,37.878,-110.856,6
1480,Chester County,MS,Small Town,6.85,40.0,31.779,-89.711,6
1144,Morgan Parish,LA,Suburban,11.29,34.1,29.394,-92.746,6
2542,Perry County,TX,Small Town,8.79,20.3,32.494,-95.064,6
2471,Madison County,TN,Rural,5.80,28.6,35.852,-84.701,6
2714,Orange County,TX,Suburban,9.47,87.2,26.784,-101.648,6
1781,Clay County,NJ,Suburban,11.90,23.7,39.860,-74.885,6
197,Adams County,CA,Suburban,11.46,42.7,38.853,-115.312,6
2634,Orange County,TX,Small Town,6.08,42.4,28.768,-96.048,6
2237,Lawrence County,OR,Suburban,8.35,42.3,45.638,-121.552,6
2783,Union County,UT,Small Town,8.45,35.6,40.097,-112.255,6
510,Lincoln County,GA,Rural,4.37,82.0,34.260,-83.168,6
2766,Madison County,TX,Small Town,8.68,62.6,27.666,-98.390,6
65,Scott County,AL,Small Town,7.08,35.1,34.922,-85.112,6
1417,Lake County,MS,Small Town,8.57,82.5,33.073,-89.463,6
2551,Knox County,TX,Small Town,7.41,36.9,33.448,-102.123,6
1292,Pike County,MI,Small Town,6.71,81.4,43.548,-84.599,6
2468,Jefferson County,TN,Suburban,11.39,41.4,35.326,-89.212,6
948,Perry County,KS,Rural,4.23,54.0,38.569,-95.082,6
1844,Grant County,NY,Urban Core,17.78,36.8,42.327,-76.339,6
2795,Hamilton County,UT,Suburban,9.60,23.2,41.295,-109.244,6
274,Knox County,CO,Small Town,7.33,30.3,37.510,-102.220,6
677,Franklin County,IL,Small Town,7.16,17.3,38.625,-88.262,6
1779,Monroe County,NJ,Suburban,10.85,80.2,39.396,-74.390,6
2444,Grant County,TN,Rural,6.05,73.8,36.032,-84.651,6
2619,Grant County,TX,Small Town,7.12,57.5,27.680,-106.258,6
2005,Lake County,ND,Small Town,8.01,25.7,46.774,-103.877,6
1353,Chester County,MN,Small Town,7.30,93.6,47.411,-93.066,6
2204,Shelby County,OK,Suburban,9.19,33.2,36.990,-95.436,6
2823,Madison County,VA,Suburban,11.36,46.6,38.572,-81.998,6
2596,Shelby County,TX,Small Town,7.91,89.0,28.824,-101.659,6
1950,Pike County,NC,Small Town,8.45,44.3,34.410,-84.124,6
1944,Montgomery County,NC,Small Town,6.95,75.7,35.451,-82.434,6
1542,Hamilton County,MO,Small Town,7.80,76.6,40.461,-91.437,6
302,Grant County,CO,Small Town,8.57,58.7,40.426,-103.296,6
97,Washington County,AZ,Suburban,9.86,36.6,35.714,-114.727,6
1807,Warren County,NM,Small Town,8.65,58.3,36.889,-108.278,6
1704,Wayne County,NE,Rural,6.26,30.6,40.077,-98.307,6
2881,Polk County,VA,Small Town,7.23,25.0,37.806,-77.930,6
382,Polk County,FL,Small Town,9.00,49.3,30.285,-83.902,6
1345,Morgan County,MN,Suburban,8.93,70.9,44.283,-92.698,6
1686,Ross County,NE,Rural,5.68,32.7,40.993,-97.005,6
387,Washington County,GA,Rural,5.50,69.2,33.666,-81.333,6
2372,Wayne County,SD,Suburban,8.18,72.5,44.319,-100.566,6
656,Pike County,IL,Suburban,9.85,84.8,42.270,-88.364,6
776,Chester County,IN,Small Town,8.13,58.3,40.650,-85.650,6
2364,Lincoln County,SD,Suburban,8.93,56.8,43.107,-103.937,6
2133,Lincoln County,OK,Small Town,8.21,22.7,36.395,-96.217,6
157,Jackson County,AR,Small Town,7.79,44.3,35.140,-93.799,6
947,Hamilton County,KS,Small Town,7.31,62.2,39.537,-97.498,6
2521,Fayette County,TN,Small Town,6.67,33.0,35.030,-83.172,6
801,Greene County,IA,Suburban,8.86,82.1,42.081,-90.380,6
1289,Douglas County,MI,Small Town,7.92,83.6,46.948,-83.636,6
1363,Marion County,MN,Small Town,6.24,44.2,48.964,-91.836,6
2096,Fayette County,OH,Suburban,9.05,88.5,40.675,-83.279,6
3056,Clay County,WI,Suburban,11.56,10.1,43.848,-87.092,6
2658,Lake County,TX,Small Town,6.17,50.1,31.396,-98.911,6
2839,Perry County,VA,Suburban,11.52,61.1,36.717,-79.858,6
119,Union County,AR,Small Town,7.30,75.0,34.557,-89.980,6
2765,Lincoln County,TX,Small Town,6.13,58.3,29.267,-106.068,6
2415,Fayette County,SD,Suburban,8.59,30.5,43.462,-99.329,6
3059,Wayne County,WI,Small Town,7.16,58.3,43.414,-90.724,6
2330,Montgomery County,SC,Suburban,9.47,71.8,33.005,-80.349,6
193,Monroe County,CA,Suburban,10.84,77.6,37.680,-115.341,6
2697,Montgomery County,TX,Rural,4.36,39.5,28.026,-106.522,6
2,Jefferson County,AL,Suburban,11.90,37.3,32.712,-87.690,6
915,Harrison County,KS,Small Town,8.76,39.9,39.217,-101.780,6
1887,Perry County,NY,Small Town,7.55,37.0,42.321,-76.845,6
1884,Grant County,NY,Small Town,7.56,48.3,40.792,-76.627,6
2316,Jefferson County,SC,Small Town,8.46,91.0,33.843,-79.884,6
2403,Franklin County,SD,Rural,4.39,30.3,42.583,-96.643,6
1014,Pike County,KY,Rural,5.94,60.2,38.220,-86.956,6
1974,Jackson County,NC,Small Town,7.09,89.3,34.316,-83.220,6
246,Jefferson County,CO,Suburban,11.62,92.3,40.284,-104.468,6
1608,Wayne County,MT,Rural,4.86,21.9,46.160,-109.470,6
748,Wayne County,IN,Suburban,9.17,59.0,38.517,-86.825,6
736,Chester County,IN,Small Town,6.34,91.9,38.900,-86.172,6
1842,Montgomery County,NY,Small Town,8.91,33.1,43.112,-73.559,6
1481,Washington County,MS,Small Town,8.66,22.0,32.283,-91.032,6
125,Warren County,AR,Rural,4.78,19.4,33.252,-91.061,6
1786,Warren County,NJ,Suburban,8.09,48.4,40.860,-74.330,6
2479,Greene County,TN,Suburban,10.57,58.9,35.167,-87.159,6
2025,Wilson County,ND,Small Town,7.83,17.3,47.862,-100.957,6
880,Wayne County,IA,Small Town,6.87,34.3,41.480,-95.567,6
1915,Carroll County,NC,Small Town,8.34,22.7,34.529,-80.847,6
2439,Greene County,TN,Small Town,6.18,59.4,36.420,-84.058,6
2404,Lincoln County,SD,Suburban,11.47,30.7,43.537,-101.377,6
3096,Lake County,WY,Rural,6.12,52.2,42.451,-109.500,6
2851,Orange County,VA,Small Town,6.73,28.2,39.198,-81.275,6
306,Pike County,CO,Small Town,8.36,16.5,40.362,-106.084,6
1207,Fayette County,MD,Small Town,6.66,11.9,38.937,-76.766,6
1116,Lincoln Parish,LA,Suburban,11.32,18.5,29.576,-91.268,6
2674,Orange County,TX,Suburban,8.57,92.8,31.866,-97.087,6
359,Chester County,FL,Small Town,6.91,14.4,25.813,-83.568,6
2885,Carroll County,VA,Suburban,11.94,15.4,39.251,-75.934,6
3000,Union County,WV,Small Town,7.22,42.1,39.808,-79.793,6
2915,Jefferson County,WA,Suburban,11.44,63.9,46.932,-120.716,6
2326,Wayne County,SC,Suburban,11.93,69.4,33.188,-81.222,6
789,Washington County,IA,Rural,4.25,93.7,41.535,-91.002,6
3051,Lincoln County,WI,Small Town,8.28,28.4,43.518,-92.069,6
3011,Lincoln County,WI,Suburban,8.32,41.9,45.432,-88.055,6
1742,Marion County,NE,Small Town,6.97,78.6,41.307,-98.192,6
2998,Jackson County,WV,Suburban,10.72,26.9,40.201,-82.171,6
2387,Carroll County,SD,Small Town,6.94,48.5,44.043,-103.046,6
1875,Clay County,NY,Small Town,7.60,18.0,41.204,-73.681,6
1070,Benton County,KY,Small Town,7.02,44.6,37.950,-84.127,6
2150,Perry County,OK,Small Town,6.65,28.5,34.624,-97.201,6
1696,Lincoln County,NE,Rural,3.61,19.0,41.904,-103.066,6
904,Lake County,KS,Rural,5.01,21.8,39.553,-95.382,6
2692,Adams County,TX,Small Town,8.51,38.2,28.731,-94.558,6
691,Lake County,IL,Small Town,6.30,91.6,38.176,-88.210,6
42,Jefferson County,AL,Small Town,8.72,26.3,33.789,-87.963,5
2552,Lawrence County,TX,Small Town,7.39,69.1,34.795,-98.524,5
2635,Ross County,TX,Small Town,8.20,21.2,31.160,-106.343,5
2726,Madison County,TX,Small Town,8.58,58.6,29.864,-103.060,5
92,Scott Borough,AK,Suburban,10.13,66.5,68.908,-159.944,5
1223,Monroe County,MA,Urban Core,16.97,28.7,41.932,-71.118,5
2325,Adams County,SC,Small Town,8.85,60.5,32.081,-80.339,5
1501,Douglas County,MO,Small Town,6.57,25.3,40.265,-91.109,5
862,Ross County,IA,Rural,4.21,26.9,41.896,-96.398,5
1498,Montgomery County,MO,Rural,4.47,54.3,36.032,-92.118,5
425,Cass County,GA,Small Town,8.36,93.5,33.644,-83.797,5
2155,Clark County,OK,Rural,4.35,24.4,34.907,-99.410,5
777,Washington County,IN,Small Town,9.00,88.1,38.673,-87.366,5
1584,Pike County,MO,Rural,5.11,67.3,39.359,-95.278,5
2832,Warren County,VA,Suburban,11.32,80.8,37.589,-79.156,5
2887,Johnson County,VA,Suburban,9.14,81.6,37.877,-78.794,5
337,Grant County,FL,Small Town,7.54,44.8,24.642,-83.527,5
1919,Lawrence County,NC,Small Town,7.04,64.1,36.269,-78.084,5
1900,Wayne County,NC,Small Town,6.80,36.0,35.049,-77.264,5
1149,Wilson Parish,LA,Small Town,6.20,67.8,32.046,-92.391,5
647,Greene County,IL,Small Town,7.25,66.5,38.580,-91.396,5
1517,Shelby County,MO,Rural,6.38,76.6,37.353,-95.208,5
2267,Scott County,PA,Suburban,9.79,40.7,41.879,-77.103,5
742,Jackson County,IN,Small Town,6.58,89.9,39.196,-87.714,5
3042,Shelby County,WI,Small Town,7.20,49.8,43.831,-91.561,5
606,Wayne County,IL,Small Town,8.00,71.1,41.364,-89.312,5
1341,Harrison County,MN,Suburban,9.79,63.3,44.621,-96.294,5
1141,Johnson Parish,LA,Small Town,7.45,58.5,30.297,-92.212,5
170,Douglas County,AR,Small Town,6.68,34.6,33.892,-90.727,5
824,Sullivan County,IA,Small Town,8.82,39.5,43.195,-93.800,5
2290,Union County,PA,Small Town,7.18,16.1,39.768,-77.062,5
1818,Scott County,NM,Suburban,8.10,59.5,31.345,-105.609,5
55,Fayette County,AL,Small Town,7.17,81.2,34.335,-88.072,5
1040,Union County,KY,Small Town,7.23,84.6,38.757,-81.928,5
2390,Knox County,SD,Suburban,8.93,25.6,42.643,-100.855,5
2007,Douglas County,ND,Rural,5.09,63.6,48.852,-100.286,5
1431,Lawrence County,MS,Rural,4.07,83.2,32.588,-91.416,5
1330,Lake County,MN,Suburban,10.54,29.4,49.219,-91.464,5
2441,Fayette County,TN,Suburban,11.76,19.5,35.760,-89.886,5
1010,Grant County,KY,Small Town,7.92,27.2,38.677,-85.883,5
1982,Warren County,NC,Small Town,7.86,16.5,35.025,-77.676,5
635,Washington County,IL,Suburban,10.39,18.7,41.000,-89.675,5
2423,Polk County,SD,Small Town,6.44,38.2,43.471,-101.592,5
1099,Carroll County,KY,Small Town,8.49,85.8,38.430,-83.866,5
1856,Knox County,NY,Suburban,10.53,81.9,41.883,-76.493,5
1548,Clark County,MO,Small Town,7.90,91.1,40.058,-90.220,5
601,Monroe County,IL,Suburban,8.32,29.1,42.337,-90.410,5
704,Union County,IN,Suburban,9.90,54.4,40.028,-87.146,5
1602,Jackson County,MT,Suburban,9.50,33.4,47.823,-106.951,5
2163,Ross County,OK,Small Town,7.33,12.8,35.303,-98.001,5
